feature,importance
cat__career_stage_Prospect,0.12910157
num__market_value_log,0.09411345
cat__contract_status_Long,0.053642977
num__num_clubs,0.0401327
cat__contract_status_Expired,0.03616471
num__current_market_value,0.035777107
num__assists_log,0.029591829
num__market_value_per_season,0.029151322
num__num_seasons,0.025572589
num__injury_burden_index,0.025080709
num__market_value_per_contribution,0.020158669
num__total_assists,0.018634403
num__assists_per_season,0.017893413
num__goal_contributions,0.017343024
num__engagement_per_mention,0.016483365
num__club_prestige_score,0.014852273
num__num_competitions,0.014660112
num__age_proxy,0.01412632
num__competition_score,0.011997628
num__days_since_transfer,0.011346599
num__contributions_per_season,0.010377394
num__to_team_frequency,0.010038802
num__is_free_transfer_like,0.009875735
cat__career_stage_Prime,0.009857223
num__total_goals,0.009273325
num__sentiment_momentum,0.009253568
cat__transfer_window_Other,0.0091925
num__positive_sentiment_ratio,0.008861098
num__market_pressure_index,0.008756694
num__days_missed_per_season,0.008563681
cat__injury_risk_category_Low,0.008389886
cat__contract_status_Medium,0.008255885
num__goals_log,0.008193254
num__engagement_rate,0.00809974
num__sentiment_polarity_gap,0.007843868
num__event_count_log,0.007773783
num__buzz_score,0.0075681577
num__goals_per_season,0.0075381957
num__event_count,0.007385906
num__goal_assist_balance,0.0072403476
cat__injury_risk_category_Elevated,0.007194629
cat__transfer_window_Winter,0.0068651247
num__from_team_frequency,0.00679375
num__sentiment_stability,0.006400387
num__mention_trend,0.006322741
num__injury_days_log,0.0060545495
cat__contract_status_Short,0.005953473
num__current_club_frequency,0.0055301683
num__contract_days_remaining,0.005185707
num__transfer_quarter,0.0050842566
num__total_days_missed,0.0050677536
num__avg_sentiment_3m,0.0048646177
num__sentiment_trend,0.00476446
num__lowest_sentiment,0.0046996195
num__mobility_index,0.004400477
num__assist_share,0.0043693744
num__league_exposure_index,0.0042640655
num__transfer_year,0.0040732143
num__has_market_value,0.0038535886
num__sentiment_volatility,0.0038527686
num__transfer_month,0.0037431694
num__peak_sentiment,0.0035776133
num__clubs_per_season,0.0034946876
num__text_sentiment_alignment,0.0033657458
cat__career_stage_Emerging,0.0033428096
num__goal_share,0.003042704
cat__career_stage_Experienced,0.0030302056
cat__transfer_window_Summer,0.0030029507
cat__sentiment_band_Strong,0.0028191153
cat__career_stage_Veteran,0.00258702
num__negative_sentiment_ratio,0.0025681346
num__performance_index,0.002479843
num__injuries_per_season,0.0024164293
num__sentiment_shock,0.0022830362
num__avg_monthly_mentions,0.0022661453
num__competitions_per_season,0.0022252635
num__contract_years_remaining,0.0020166393
num__total_injuries,0.0018070474
num__sentiment_composite,0.0016735692
num__prime_years_flag,0.0016683835
num__recent_event_flag,0.0015665952
cat__injury_risk_category_Moderate,0.0014799677
cat__team_transition_type_infrequent_sklearn,0.0014428704
cat__sentiment_band_Positive,0.001410984
cat__current_club_name_Without Club,0.0011904272
num__injury_days_per_injury,0.0010140833
cat__contract_status_infrequent_sklearn,0.00088563544
cat__from_team_name_Without Club,0.00085183926
cat__team_transition_type_External,0.00066636124
cat__sentiment_band_Mixed,0.0006374145
num__mentions_log,0.0005818032
cat__to_team_name_Without Club,0.000569411
cat__injury_risk_category_High,0.0005164248
cat__current_club_name_Retired,1.7247869e-05
num__text_sentiment_token_count,0.0
num__text_sentiment_magnitude,0.0
num__text_sentiment_positive_ratio,0.0
num__text_sentiment_compound_scaled,0.0
num__text_sentiment_compound,0.0
num__text_sentiment_negative_ratio,0.0
num__text_popularity_proxy,0.0
num__has_contract_info,0.0
num__contract_known_flag,0.0
cat__sentiment_band_Elite,0.0
cat__to_team_name_infrequent_sklearn,0.0
cat__current_club_name_infrequent_sklearn,0.0
cat__from_team_name_infrequent_sklearn,0.0
cat__to_team_name_Retired,0.0
cat__team_transition_type_Exit,0.0
